Учебный год,Область,Район,Школа,Класс,Ученик,Цель обучения,Критерий оценивания,Дескриптор,СОЧ (%),МОДО (%),Отклонение,Аналитика,Обратная связь
2024–2025,Акмолинская обл.,Зерендинский район,КГУ 'СОШ №12',4А,Ученик 1,3.3.2.1,Формулирование связей,Поясняет значение воды для растений и животных,72,80,-8,Оценивание сбалансировано,Рекомендована доработка в практическом контексте
2024–2025,Акмолинская обл.,Зерендинский район,КГУ 'СОШ №12',4А,Ученик 1,3.4.3.1,Знание структуры организма,Называет органы дыхания,54,45,9,Оценивание сбалансировано,Рекомендована доработка в практическом контексте
2024–2025,Акмолинская обл.,Зерендинский район,КГУ 'СОШ №12',4А,Ученик 1,3.5.1.3,Классификация объектов природы,Различает живую и неживую природу,79,56,23,Переоценка в СОЧ,Рекомендована доработка в практическом контексте
2024–2025,Акмолинская обл.,Зерендинский район,КГУ 'СОШ №12',4А,Ученик 2,3.1.2.1,Понимание и применение знаний,Классифицирует животных,74,60,14,Переоценка в СОЧ,Рекомендована доработка в практическом контексте
2024–2025,Акмолинская обл.,Зерендинский район,КГУ 'СОШ №12',4А,Ученик 2,3.2.1.2,Применение наблюдений,Объясняет свойства воды,63,36,27,Переоценка в СОЧ,Рекомендована доработка в практическом контексте
2024–2025,Акмолинская обл.,Зерендинский район,КГУ 'СОШ №12',4А,Ученик 2,3.3.2.1,Формулирование связей,Поясняет значение воды для растений и животных,48,82,-34,Недооценка — МОДО выше,Рекомендована доработка в практическом контексте
2024–2025,Акмолинская обл.,Зерендинский район,КГУ 'СОШ №12',4А,Ученик 2,3.4.3.1,Знание структуры организма,Называет органы дыхания,75,90,-15,Недооценка — МОДО выше,Рекомендована доработка в практическом контексте
2024–2025,Акмолинская обл.,Зерендинский район,КГУ 'СОШ №12',4А,Ученик 2,3.5.1.3,Классификация объектов природы,Различает живую и неживую природу,64,42,22,Переоценка в СОЧ,Рекомендована доработка в практическом контексте
2024–2025,Акмолинская обл.,Зерендинский район,КГУ 'СОШ №12',4А,Ученик 3,3.1.2.1,Понимание и применение знаний,Классифицирует животных,56,86,-30,Недооценка — МОДО выше,Рекомендована доработка в практическом контексте
2024–2025,Акмолинская обл.,Зерендинский район,КГУ 'СОШ №12',4А,Ученик 3,3.2.1.2,Применение наблюдений,Объясняет свойства воды,81,43,38,Переоценка в СОЧ,Рекомендована доработка в практическом контексте
2024–2025,Акмолинская обл.,Зерендинский район,КГУ 'СОШ №12',4А,Ученик 3,3.3.2.1,Формулирование связей,Поясняет значение воды для растений и животных,55,60,-5,Оценивание сбалансировано,Рекомендована доработка в практическом контексте
2024–2025,Акмолинская обл.,Зерендинский район,КГУ 'СОШ №12',4А,Ученик 3,3.4.3.1,Знание структуры организма,Называет органы дыхания,79,41,38,Переоценка в СОЧ,Рекомендована доработка в практическом контексте
2024–2025,Акмолинская обл.,Зерендинский район,КГУ 'СОШ №12',4А,Ученик 3,3.5.1.3,Классификация объектов природы,Различает живую и неживую природу,66,77,-11,Недооценка — МОДО выше,Рекомендована доработка в практическом контексте
2024–2025,Акмолинская обл.,Зерендинский район,КГУ 'СОШ №12',4А,Ученик 4,3.1.2.1,Понимание и применение знаний,Классифицирует животных,42,63,-21,Недооценка — МОДО выше,Рекомендована доработка в практическом контексте
2024–2025,Акмолинская обл.,Зерендинский район,КГУ 'СОШ №12',4А,Ученик 4,3.2.1.2,Применение наблюдений,Объясняет свойства воды,71,81,-10,Оценивание сбалансировано,Рекомендована доработка в практическом контексте
2024–2025,Акмолинская обл.,Зерендинский район,КГУ 'СОШ №12',4А,Ученик 4,3.3.2.1,Формулирование связей,Поясняет значение воды для растений и животных,55,53,2,Оценивание сбалансировано,Рекомендована доработка в практическом контексте
2024–2025,Акмолинская обл.,Зерендинский район,КГУ 'СОШ №12',4А,Ученик 4,3.4.3.1,Знание структуры организма,Называет органы дыхания,67,44,23,Переоценка в СОЧ,Рекомендована доработка в практическом контексте
2024–2025,Акмолинская обл.,Зерендинский район,КГУ 'СОШ №12',4А,Ученик 4,3.5.1.3,Классификация объектов природы,Различает живую и неживую природу,68,63,5,Оценивание сбалансировано,Рекомендована доработка в практическом контексте
2024–2025,Акмолинская обл.,Зерендинский район,КГУ 'СОШ №12',4А,Ученик 5,3.1.2.1,Понимание и применение знаний,Классифицирует животных,79,80,-1,Оценивание сбалансировано,Рекомендована доработка в практическом контексте
2024–2025,Акмолинская обл.,Зерендинский район,КГУ 'СОШ №12',4А,Ученик 5,3.2.1.2,Применение наблюдений,Объясняет свойства воды,74,63,11,Переоценка в СОЧ,Рекомендована доработка в практическом контексте
2024–2025,Акмолинская обл.,Зерендинский район,КГУ 'СОШ №12',4А,Ученик 5,3.3.2.1,Формулирование связей,Поясняет значение воды для растений и животных,76,61,15,Переоценка в СОЧ,Рекомендована доработка в практическом контексте
2024–2025,Акмолинская обл.,Зерендинский район,КГУ 'СОШ №12',4А,Ученик 5,3.4.3.1,Знание структуры организма,Называет органы дыхания,61,60,1,Оценивание сбалансировано,Рекомендована доработка в практическом контексте
2024–2025,Акмолинская обл.,Зерендинский район,КГУ 'СОШ №12',4А,Ученик 5,3.5.1.3,Классификация объектов природы,Различает живую и неживую природу,56,55,1,Оценивание сбалансировано,Рекомендована доработка в практическом контексте
2024–2025,Акмолинская обл.,Зерендинский район,КГУ 'СОШ №12',4Б,Тыныбаева Мадина,3.1.2.1,Понимание и применение знаний,Классифицирует животных,62,74,-12,Недооценка — МОДО выше,Рекомендована доработка в практическом контексте
2024–2025,Акмолинская обл.,Зерендинский район,КГУ 'СОШ №12',4Б,Тыныбаева Мадина,3.2.1.2,Применение наблюдений,Объясняет свойства воды,41,60,-19,Недооценка — МОДО выше,Рекомендована доработка в практическом контексте
2024–2025,Акмолинская обл.,Зерендинский район,КГУ 'СОШ №12',4Б,Тыныбаева Мадина,3.3.2.1,Формулирование связей,Поясняет значение воды для растений и животных,61,38,23,Переоценка в СОЧ,Рекомендована доработка в практическом контексте
2024–2025,Акмолинская обл.,Зерендинский район,КГУ 'СОШ №12',4Б,Тыныбаева Мадина,3.4.3.1,Знание структуры организма,Называет органы дыхания,76,84,-8,Оценивание сбалансировано,Рекомендована доработка в практическом контексте
2024–2025,Акмолинская обл.,Зерендинский район,КГУ 'СОШ №12',4Б,Тыныбаева Мадина,3.5.1.3,Классификация объектов природы,Различает живую и неживую природу,74,52,22,Переоценка в СОЧ,Рекомендована доработка в практическом контексте
2024–2025,Акмолинская обл.,Зерендинский район,КГУ 'СОШ №12',4Б,Жагпарова Сая,3.1.2.1,Понимание и применение знаний,Классифицирует животных,53,65,-12,Недооценка — МОДО выше,Рекомендована доработка в практическом контексте
2024–2025,Акмолинская обл.,Зерендинский район,КГУ 'СОШ №12',4Б,Жагпарова Сая,3.2.1.2,Применение наблюдений,Объясняет свойства воды,54,52,2,Оценивание сбалансировано,Рекомендована доработка в практическом контексте
2024–2025,Акмолинская обл.,Зерендинский район,КГУ 'СОШ №12',4Б,Жагпарова Сая,3.3.2.1,Формулирование связей,Поясняет значение воды для растений и животных,76,43,33,Переоценка в СОЧ,Рекомендована доработка в практическом контексте
2024–2025,Акмолинская обл.,Зерендинский район,КГУ 'СОШ №12',4Б,Жагпарова Сая,3.4.3.1,Знание структуры организма,Называет органы дыхания,61,43,18,Переоценка в СОЧ,Рекомендована доработка в практическом контексте
2024–2025,Акмолинская обл.,Зерендинский район,КГУ 'СОШ №12',4Б,Жагпарова Сая,3.5.1.3,Классификация объектов природы,Различает живую и неживую природу,61,64,-3,Оценивание сбалансировано,Рекомендована доработка в практическом контексте
2024–2025,Акмолинская обл.,Зерендинский район,КГУ 'СОШ №12',4Б,Жумажанова Сания,3.1.2.1,Понимание и применение знаний,Классифицирует животных,79,81,-2,Оценивание сбалансировано,Рекомендована доработка в практическом контексте
2024–2025,Акмолинская обл.,Зерендинский район,КГУ 'СОШ №12',4Б,Жумажанова Сания,3.2.1.2,Применение наблюдений,Объясняет свойства воды,70,49,21,Переоценка в СОЧ,Рекомендована доработка в практическом контексте
2024–2025,Акмолинская обл.,Зерендинский район,КГУ 'СОШ №12',4Б,Жумажанова Сания,3.3.2.1,Формулирование связей,Поясняет значение воды для растений и животных,51,84,-33,Недооценка — МОДО выше,Рекомендована доработка в практическом контексте
2024–2025,Акмолинская обл.,Зерендинский район,КГУ 'СОШ №12',4Б,Жумажанова Сания,3.4.3.1,Знание структуры организма,Называет органы дыхания,66,83,-17,Недооценка — МОДО выше,Рекомендована доработка в практическом контексте
2024–2025,Акмолинская обл.,Зерендинский район,КГУ 'СОШ №12',4Б,Жумажанова Сания,3.5.1.3,Классификация объектов природы,Различает живую и неживую природу,52,37,15,Переоценка в СОЧ,Рекомендована доработка в практическом контексте
2024–2025,Акмолинская обл.,Зерендинский район,КГУ 'СОШ №12',4Б,Мусабаева Мерей,3.1.2.1,Понимание и применение знаний,Классифицирует животных,43,85,-42,Недооценка — МОДО выше,Рекомендована доработка в практическом контексте
2024–2025,Акмолинская обл.,Зерендинский район,КГУ 'СОШ №12',4Б,Мусабаева Мерей,3.2.1.2,Применение наблюдений,Объясняет свойства воды,64,60,4,Оценивание сбалансировано,Рекомендована доработка в практическом контексте
2024–2025,Акмолинская обл.,Зерендинский район,КГУ 'СОШ №12',4Б,Мусабаева Мерей,3.3.2.1,Формулирование связей,Поясняет значение воды для растений и животных,82,54,28,Переоценка в СОЧ,Рекомендована доработка в практическом контексте
2024–2025,Акмолинская обл.,Зерендинский район,КГУ 'СОШ №12',4Б,Мусабаева Мерей,3.4.3.1,Знание структуры организма,Называет органы дыхания,78,75,3,Оценивание сбалансировано,Рекомендована доработка в практическом контексте
2024–2025,Акмолинская обл.,Зерендинский район,КГУ 'СОШ №12',4Б,Мусабаева Мерей,3.5.1.3,Классификация объектов природы,Различает живую и неживую природу,69,45,24,Переоценка в СОЧ,Рекомендована доработка в практическом контексте
2024–2025,Акмолинская обл.,Зерендинский район,КГУ 'СОШ №12',4Б,Ученик 1,3.1.2.1,Понимание и применение знаний,Классифицирует животных,84,72,12,Переоценка в СОЧ,Рекомендована доработка в практическом контексте
2024–2025,Акмолинская обл.,Зерендинский район,КГУ 'СОШ №12',4Б,Ученик 1,3.2.1.2,Применение наблюдений,Объясняет свойства воды,78,78,0,Оценивание сбалансировано,Рекомендована доработка в практическом контексте
2024–2025,Акмолинская обл.,Зерендинский район,КГУ 'СОШ №12',4Б,Ученик 1,3.3.2.1,Формулирование связей,Поясняет значение воды для растений и животных,60,41,19,Переоценка в СОЧ,Рекомендована доработка в практическом контексте
2024–2025,Акмолинская обл.,Зерендинский район,КГУ 'СОШ №12',4Б,Ученик 1,3.4.3.1,Знание структуры организма,Называет органы дыхания,56,61,-5,Оценивание сбалансировано,Рекомендована доработка в практическом контексте
2024–2025,Акмолинская обл.,Зерендинский район,КГУ 'СОШ №12',4Б,Ученик 1,3.5.1.3,Классификация объектов природы,Различает живую и неживую природу,85,80,5,Оценивание сбалансировано,Рекомендована доработка в практическом контексте
2024–2025,Акмолинская обл.,Зерендинский район,КГУ 'СОШ №12',4Б,Ученик 2,3.1.2.1,Понимание и применение знаний,Классифицирует животных,77,76,1,Оценивание сбалансировано,Рекомендована доработка в практическом контексте
2024–2025,Акмолинская обл.,Зерендинский район,КГУ 'СОШ №12',4Б,Ученик 2,3.2.1.2,Применение наблюдений,Объясняет свойства воды,67,56,11,Переоценка в СОЧ,Рекомендована доработка в практическом контексте
2024–2025,Акмолинская обл.,Зерендинский район,КГУ 'СОШ №12',4Б,Ученик 2,3.3.2.1,Формулирование связей,Поясняет значение воды для растений и животных,71,77,-6,Оценивание сбалансировано,Рекомендована доработка в практическом контексте
2024–2025,Акмолинская обл.,Зерендинский район,КГУ 'СОШ №12',4Б,Ученик 2,3.4.3.1,Знание структуры организма,Называет органы дыхания,48,72,-24,Недооценка — МОДО выше,Рекомендована доработка в практическом контексте
2024–2025,Акмолинская обл.,Зерендинский район,КГУ 'СОШ №12',4Б,Ученик 2,3.5.1.3,Классификация объектов природы,Различает живую и неживую природу,40,80,-40,Недооценка — МОДО выше,Рекомендована доработка в практическом контексте
2024–2025,Акмолинская обл.,Зерендинский район,КГУ 'СОШ №12',4Б,Ученик 3,3.1.2.1,Понимание и применение знаний,Классифицирует животных,85,84,1,Оценивание сбалансировано,Рекомендована доработка в практическом контексте
2024–2025,Акмолинская обл.,Зерендинский район,КГУ 'СОШ №12',4Б,Ученик 3,3.2.1.2,Применение наблюдений,Объясняет свойства воды,46,37,9,Оценивание сбалансировано,Рекомендована доработка в практическом контексте
2024–2025,Акмолинская обл.,Зерендинский район,КГУ 'СОШ №12',4Б,Ученик 3,3.3.2.1,Формулирование связей,Поясняет значение воды для растений и животных,72,83,-11,Недооценка — МОДО выше,Рекомендована доработка в практическом контексте
2024–2025,Акмолинская обл.,Зерендинский район,КГУ 'СОШ №12',4Б,Ученик 3,3.4.3.1,Знание структуры организма,Называет органы дыхания,43,85,-42,Недооценка — МОДО выше,Рекомендована доработка в практическом контексте
2024–2025,Акмолинская обл.,Зерендинский район,КГУ 'СОШ №12',4Б,Ученик 3,3.5.1.3,Классификация объектов природы,Различает живую и неживую природу,82,54,28,Переоценка в СОЧ,Рекомендована доработка в практическом контексте
2024–2025,Акмолинская обл.,Зерендинский район,КГУ 'СОШ №12',4Б,Ученик 4,3.1.2.1,Понимание и применение знаний,Классифицирует животных,79,63,16,Переоценка в СОЧ,Рекомендована доработка в практическом контексте
2024–2025,Акмолинская обл.,Зерендинский район,КГУ 'СОШ №12',4Б,Ученик 4,3.2.1.2,Применение наблюдений,Объясняет свойства воды,56,86,-30,Недооценка — МОДО выше,Рекомендована доработка в практическом контексте
2024–2025,Акмолинская обл.,Зерендинский район,КГУ 'СОШ №12',4Б,Ученик 4,3.3.2.1,Формулирование связей,Поясняет значение воды для растений и животных,61,46,15,Переоценка в СОЧ,Рекомендована доработка в практическом контексте
2024–2025,Акмолинская обл.,Зерендинский район,КГУ 'СОШ №12',4Б,Ученик 4,3.4.3.1,Знание структуры организма,Называет органы дыхания,73,81,-8,Оценивание сбалансировано,Рекомендована доработка в практическом контексте
2024–2025,Акмолинская обл.,Зерендинский район,КГУ 'СОШ №12',4Б,Ученик 4,3.5.1.3,Классификация объектов природы,Различает живую и неживую природу,63,58,5,Оценивание сбалансировано,Рекомендована доработка в практическом контексте
2024–2025,Акмолинская обл.,Зерендинский район,КГУ 'СОШ №12',4Б,Ученик 5,3.1.2.1,Понимание и применение знаний,Классифицирует животных,53,75,-22,Недооценка — МОДО выше,Рекомендована доработка в практическом контексте
2024–2025,Акмолинская обл.,Зерендинский район,КГУ 'СОШ №12',4Б,Ученик 5,3.2.1.2,Применение наблюдений,Объясняет свойства воды,66,45,21,Переоценка в СОЧ,Рекомендована доработка в практическом контексте
2024–2025,Акмолинская обл.,Зерендинский район,КГУ 'СОШ №12',4Б,Ученик 5,3.3.2.1,Формулирование связей,Поясняет значение воды для растений и животных,66,77,-11,Недооценка — МОДО выше,Рекомендована доработка в практическом контексте
2024–2025,Акмолинская обл.,Зерендинский район,КГУ 'СОШ №12',4Б,Ученик 5,3.4.3.1,Знание структуры организма,Называет органы дыхания,44,35,9,Оценивание сбалансировано,Рекомендована доработка в практическом контексте
2024–2025,Акмолинская обл.,Зерендинский район,КГУ 'СОШ №12',4Б,Ученик 5,3.5.1.3,Классификация объектов природы,Различает живую и неживую природу,41,43,-2,Оценивание сбалансировано,Рекомендована доработка в практическом контексте
2024–2025,Акмолинская обл.,Зерендинский район,КГУ 'СОШ №12',5А,Тыныбаева Мадина,3.1.2.1,Понимание и применение знаний,Классифицирует животных,61,87,-26,Недооценка — МОДО выше,Рекомендована доработка в практическом контексте
2024–2025,Акмолинская обл.,Зерендинский район,КГУ 'СОШ №12',5А,Тыныбаева Мадина,3.2.1.2,Применение наблюдений,Объясняет свойства воды,63,68,-5,Оценивание сбалансировано,Рекомендована доработка в практическом контексте
2024–2025,Акмолинская обл.,Зерендинский район,КГУ 'СОШ №12',5А,Тыныбаева Мадина,3.3.2.1,Формулирование связей,Поясняет значение воды для растений и животных,40,88,-48,Недооценка — МОДО выше,Рекомендована доработка в практическом контексте
2024–2025,Акмолинская обл.,Зерендинский район,КГУ 'СОШ №12',5А,Тыныбаева Мадина,3.4.3.1,Знание структуры организма,Называет органы дыхания,64,53,11,Переоценка в СОЧ,Рекомендована доработка в практическом контексте
2024–2025,Акмолинская обл.,Зерендинский район,КГУ 'СОШ №12',5А,Тыныбаева Мадина,3.5.1.3,Классификация объектов природы,Различает живую и неживую природу,61,46,15,Переоценка в СОЧ,Рекомендована доработка в практическом контексте
2024–2025,Акмолинская обл.,Зерендинский район,КГУ 'СОШ №12',5А,Жагпарова Сая,3.1.2.1,Понимание и применение знаний,Классифицирует животных,68,73,-5,Оценивание сбалансировано,Рекомендована доработка в практическом контексте
2024–2025,Акмолинская обл.,Зерендинский район,КГУ 'СОШ №12',5А,Жагпарова Сая,3.2.1.2,Применение наблюдений,Объясняет свойства воды,76,73,3,Оценивание сбалансировано,Рекомендована доработка в практическом контексте
2024–2025,Акмолинская обл.,Зерендинский район,КГУ 'СОШ №12',5А,Жагпарова Сая,3.3.2.1,Формулирование связей,Поясняет значение воды для растений и животных,61,68,-7,Оценивание сбалансировано,Рекомендована доработка в практическом контексте
2024–2025,Акмолинская обл.,Зерендинский район,КГУ 'СОШ №12',5А,Жагпарова Сая,3.4.3.1,Знание структуры организма,Называет органы дыхания,48,75,-27,Недооценка — МОДО выше,Рекомендована доработка в практическом контексте
2024–2025,Акмолинская обл.,Зерендинский район,КГУ 'СОШ №12',5А,Жагпарова Сая,3.5.1.3,Классификация объектов природы,Различает живую и неживую природу,66,40,26,Переоценка в СОЧ,Рекомендована доработка в практическом контексте
2024–2025,Акмолинская обл.,Зерендинский район,КГУ 'СОШ №12',5А,Жумажанова Сания,3.1.2.1,Понимание и применение знаний,Классифицирует животных,53,72,-19,Недооценка — МОДО выше,Рекомендована доработка в практическом контексте
2024–2025,Акмолинская обл.,Зерендинский район,КГУ 'СОШ №12',5А,Жумажанова Сания,3.2.1.2,Применение наблюдений,Объясняет свойства воды,46,75,-29,Недооценка — МОДО выше,Рекомендована доработка в практическом контексте
2024–2025,Акмолинская обл.,Зерендинский район,КГУ 'СОШ №12',5А,Жумажанова Сания,3.3.2.1,Формулирование связей,Поясняет значение воды для растений и животных,43,49,-6,Оценивание сбалансировано,Рекомендована доработка в практическом контексте
2024–2025,Акмолинская обл.,Зерендинский район,КГУ 'СОШ №12',5А,Жумажанова Сания,3.4.3.1,Знание структуры организма,Называет органы дыхания,67,46,21,Переоценка в СОЧ,Рекомендована доработка в практическом контексте
2024–2025,Акмолинская обл.,Зерендинский район,КГУ 'СОШ №12',5А,Жумажанова Сания,3.5.1.3,Классификация объектов природы,Различает живую и неживую природу,68,35,33,Переоценка в СОЧ,Рекомендована доработка в практическом контексте
2024–2025,Акмолинская обл.,Зерендинский район,КГУ 'СОШ №12',5А,Мусабаева Мерей,3.1.2.1,Понимание и применение знаний,Классифицирует животных,45,75,-30,Недооценка — МОДО выше,Рекомендована доработка в практическом контексте
2024–2025,Акмолинская обл.,Зерендинский район,КГУ 'СОШ №12',5А,Мусабаева Мерей,3.2.1.2,Применение наблюдений,Объясняет свойства воды,76,77,-1,Оценивание сбалансировано,Рекомендована доработка в практическом контексте
2024–2025,Акмолинская обл.,Зерендинский район,КГУ 'СОШ №12',5А,Мусабаева Мерей,3.3.2.1,Формулирование связей,Поясняет значение воды для растений и животных,85,50,35,Переоценка в СОЧ,Рекомендована доработка в практическом контексте
2024–2025,Акмолинская обл.,Зерендинский район,КГУ 'СОШ №12',5А,Мусабаева Мерей,3.4.3.1,Знание структуры организма,Называет органы дыхания,76,44,32,Переоценка в СОЧ,Рекомендована доработка в практическом контексте
2024–2025,Акмолинская обл.,Зерендинский район,КГУ 'СОШ №12',5А,Мусабаева Мерей,3.5.1.3,Классификация объектов природы,Различает живую и неживую природу,58,37,21,Переоценка в СОЧ,Рекомендована доработка в практическом контексте
2024–2025,Акмолинская обл.,Зерендинский район,КГУ 'СОШ №12',5А,Ученик 1,3.1.2.1,Понимание и применение знаний,Классифицирует животных,66,57,9,Оценивание сбалансировано,Рекомендована доработка в практическом контексте
2024–2025,Акмолинская обл.,Зерендинский район,КГУ 'СОШ №12',5А,Ученик 1,3.2.1.2,Применение наблюдений,Объясняет свойства воды,52,62,-10,Оценивание сбалансировано,Рекомендована доработка в практическом контексте
2024–2025,Акмолинская обл.,Зерендинский район,КГУ 'СОШ №12',5А,Ученик 1,3.3.2.1,Формулирование связей,Поясняет значение воды для растений и животных,66,59,7,Оценивание сбалансировано,Рекомендована доработка в практическом контексте
2024–2025,Акмолинская обл.,Зерендинский район,КГУ 'СОШ №12',5А,Ученик 1,3.4.3.1,Знание структуры организма,Называет органы дыхания,51,49,2,Оценивание сбалансировано,Рекомендована доработка в практическом контексте
2024–2025,Акмолинская обл.,Зерендинский район,КГУ 'СОШ №12',5А,Ученик 1,3.5.1.3,Классификация объектов природы,Различает живую и неживую природу,84,54,30,Переоценка в СОЧ,Рекомендована доработка в практическом контексте
2024–2025,Акмолинская обл.,Зерендинский район,КГУ 'СОШ №12',5А,Ученик 2,3.1.2.1,Понимание и применение знаний,Классифицирует животных,68,55,13,Переоценка в СОЧ,Рекомендована доработка в практическом контексте
2024–2025,Акмолинская обл.,Зерендинский район,КГУ 'СОШ №12',5А,Ученик 2,3.2.1.2,Применение наблюдений,Объясняет свойства воды,81,90,-9,Оценивание сбалансировано,Рекомендована доработка в практическом контексте
2024–2025,Акмолинская обл.,Зерендинский район,КГУ 'СОШ №12',5А,Ученик 2,3.3.2.1,Формулирование связей,Поясняет значение воды для растений и животных,78,78,0,Оценивание сбалансировано,Рекомендована доработка в практическом контексте
2024–2025,Акмолинская обл.,Зерендинский район,КГУ 'СОШ №12',5А,Ученик 2,3.4.3.1,Знание структуры организма,Называет органы дыхания,60,38,22,Переоценка в СОЧ,Рекомендована доработка в практическом контексте
2024–2025,Акмолинская обл.,Зерендинский район,КГУ 'СОШ №12',5А,Ученик 2,3.5.1.3,Классификация объектов природы,Различает живую и неживую природу,68,56,12,Переоценка в СОЧ,Рекомендована доработка в практическом контексте
2024–2025,Акмолинская обл.,Зерендинский район,КГУ 'СОШ №12',5А,Ученик 3,3.1.2.1,Понимание и применение знаний,Классифицирует животных,59,67,-8,Оценивание сбалансировано,Рекомендована доработка в практическом контексте
